"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Call $7,645.00","STC","25","$0.25","$602.75"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Call $7,640.00","BTC","25","$0.35","($897.25)"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Put $7,565.00","STC","5","$0.67","$330.55"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Put $7,570.00","BTC","5","$0.77","($389.45)"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Call $7,645.00","BTO","15","$1.07","($1,619.70)"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Call $7,640.00","STO","15","$1.57","$2,340.30"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Call $7,645.00","BTO","9","$1.00","($908.82)"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Call $7,645.00","BTO","1","$1.00","($100.98)"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Call $7,640.00","STO","10","$1.50","$1,490.20"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Put $7,570.00","STO","5","$3.57","$1,780.10"
"6/2/2026","6/2/2026","6/3/2026","SPXW","SPXW 6/2/2026 Put $7,565.00","BTO","5","$2.92","($1,464.90)"
"6/1/2026","6/1/2026","6/2/2026","SPXW","Option Expiration for SPXW 6/1/2026 Call $7,635.00","OEXP","17","",""
"6/1/2026","6/1/2026","6/2/2026","SPXW","Option Expiration for SPXW 6/1/2026 Call $7,625.00","OEXP","20","",""
"6/1/2026","6/1/2026","6/2/2026","SPXW","Option Expiration for SPXW 6/1/2026 Call $7,630.00","OEXP","20S","",""
"6/1/2026","6/1/2026","6/2/2026","SPXW","Option Expiration for SPXW 6/1/2026 Call $7,640.00","OEXP","17S","",""
"6/1/2026","6/1/2026","6/2/2026","SPXW","SPXW 6/1/2026 Call $7,640.00","BTO","7","$0.45","($321.23)"
